contract_transaction_unique_key,award_id_piid,recipient_name,awarding_agency_name,awarding_sub_agency_name,product_or_service_code_description,naics_description,action_date,federal_action_obligation,total_dollars_obligated,extent_competed,type_of_contract_pricing,award_type
3600_3600_36C24824K0008_0_36C24824D0069_0,36C24824K0008,SPECIAL CARE MEDICAL OF SOUTH CAROLINA INC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",HOME HEALTH EQUIPMENT RENTAL,2024-04-01,378183.68,378183.68,NOT COMPETED,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24824N0347_0_36F79718D0372_0,36C24824N0347,ACADEMY MEDICAL INC.,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-01-09,103232.71,103232.71,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24824N0661_0_36C24821D0056_0,36C24824N0661,"HEALTH SYSTEMS SCIENCES, LLC",Department of Veterans Affairs,Department of Veterans Affairs,INSPECTION- INSTRUMENTS AND LABORATORY EQUIPMENT,TESTING LABORATORIES AND SERVICES,2024-04-15,24846.12,24846.12,COMPETED UNDER SAP,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C24824N0746_0_36F79723D0060_0,36C24824N0746,"SIZEWISE RENTALS, L.L.C.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-05-10,15123.21,15123.21,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_-NONE-_36C25021P0102_P00005_-NONE-_0,36C25021P0102,EVOQUA WATER TECHNOLOGIES LLC,Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,WATER SUPPLY AND IRRIGATION SYSTEMS,2024-05-06,-7879.25,65775.96,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24224P0326_0_-NONE-_0,36C24224P0326,ISUSA/CONCENTRIC JV LLC,Department of Veterans Affairs,Department of Veterans Affairs,MAINTENANCE OF HOSPITALS AND INFIRMARIES,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,2023-12-18,77493.24,77493.24,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_3600_36C10B19N10080030_P00078_VA11816D1008_0,36C10B19N10080030,"B 3 GROUP, LLC",Department of Veterans Affairs,Department of Veterans Affairs,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,COMPUTER SYSTEMS DESIGN SERVICES,2024-09-30,0.0,621829774.12,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER
3600_-NONE-_36C25023C0087_P00001_-NONE-_0,36C25023C0087,BIOMERIEUX INC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-01-23,11907.0,23814.0,NOT COMPETED,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C25024P1499_0_-NONE-_0,36C25024P1499,"VA-TRAK, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"CAMERAS, MOTION PICTURE",AUDIO AND VIDEO EQUIPMENT MANUFACTURING,2024-07-18,61062.79,61062.79,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25024P3805_0_-NONE-_0,36C25024P3805,"WAVEMARK, INC",Department of Veterans Affairs,Department of Veterans Affairs,TECHNICAL MEDICAL SUPPORT,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",2024-09-17,122975.0,122975.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24422C0051_P00002_-NONE-_0,36C24422C0051,"AMERICAN NATIONAL RED CROSS, THE",Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- SURGERY,BLOOD AND ORGAN BANKS,2024-09-06,-51379.7,0.0,NOT COMPETED,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C24524C0071_P00002_-NONE-_0,36C24524C0071,UNIVERSITY OF MARYLAND PHYSICIANS PA,Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- OTHER,OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS),2024-08-28,25000.0,120612.76,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C25219C0230_P00004_-NONE-_0,36C25219C0230,TRIPLE C-THE A & E GROUP LLC,Department of Veterans Affairs,Department of Veterans Affairs,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,ARCHITECTURAL SERVICES,2023-11-06,47911.0,1321119.0,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C10X20P0002_P00006_-NONE-_0,36C10X20P0002,"PTG INTERNATIONAL, INC.",Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- PROFESSIONAL: OTHER,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES",2023-10-01,197779.92,992165.52,NOT AVAILABLE FOR COMPETITION,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24120P0681_P00004_-NONE-_0,36C24120P0681,"MYRFIDSPACE, INC.",Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- ADP EQUIPMENT/SOFTWARE/SUPPLIES/SUPPORT EQUIPMENT,COMPUTER SYSTEMS DESIGN SERVICES,2024-04-11,-0.12,27557.23,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25222P0005_P00003_-NONE-_0,36C25222P0005,"K & K AUTO BODY, GARAGE, & TRUCK SERVICE, INC",Department of Veterans Affairs,Department of Veterans Affairs,HOUSEKEEPING- SNOW REMOVAL/SALT,OTHER SERVICES TO BUILDINGS AND DWELLINGS,2023-10-01,392000.0,1176000.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25223P0963_P00001_-NONE-_0,36C25223P0963,L1 ENTERPRISES INCORPORATED,Department of Veterans Affairs,Department of Veterans Affairs,MAINT/REPAIR/REBUILD OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,2024-04-03,9801.2,25102.2,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25224P0383_P00001_-NONE-_0,36C25224P0383,"MKE URBAN STABLES, INC.",Department of Veterans Affairs,Department of Veterans Affairs,MEDICAL- OTHER,OTHER INDIVIDUAL AND FAMILY SERVICES,2024-04-04,0.0,31200.0,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25224P0830_0_-NONE-_0,36C25224P0830,"COX SUBSCRIPTIONS, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",EDUCATIONAL SUPPORT SERVICES,2024-07-31,11125.0,11125.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25224P1313_0_-NONE-_0,36C25224P1313,"SPECOPS MEDICAL SUPPLY, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-08-30,11660.82,11660.82,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24621P0613_P00007_-NONE-_0,36C24621P0613,"RCG OF NORTH CAROLINA, LLC",Department of Veterans Affairs,Department of Veterans Affairs,GASES: COMPRESSED AND LIQUEFIED,INDUSTRIAL GAS MANUFACTURING,2024-06-27,68926.38,291288.7,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24624P0105_0_-NONE-_0,36C24624P0105,"WMK, LLC",Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2023-10-16,92678.0,92678.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24624P0752_P00001_-NONE-_0,36C24624P0752,BTR ENTERPRISES OF SC LLC,Department of Veterans Affairs,Department of Veterans Affairs,QUALITY CONTROL- CLEANING EQUIPMENT AND SUPPLIES,OTHER SERVICES TO BUILDINGS AND DWELLINGS,2024-07-31,49000.0,123084.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C24624P1224_0_-NONE-_0,36C24624P1224,"NMH TECH, INC.",Department of Veterans Affairs,Department of Veterans Affairs,"HOSPITAL FURNITURE, EQUIPMENT, UTENSILS, AND SUPPLIES",SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,2024-05-24,17372.0,17372.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_3600_36C10D23N0021_P00003_36C10D22D0028_0,36C10D23N0021,"SPREZZATURA MANAGEMENT CONSULTING, LLC",Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2024-04-16,1053328.68,2413183.3,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER
3600_3600_36C10X23F0051_P00002_36C10X19A0031_0,36C10X23F0051,"KAUFFMAN AND ASSOCIATES, INC",Department of Veterans Affairs,Department of Veterans Affairs,SUPPORT- PROFESSIONAL: OTHER,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,2023-12-29,0.0,32337.0,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,BPA CALL
