contract_transaction_unique_key,award_id_piid,recipient_name,awarding_agency_name,awarding_sub_agency_name,product_or_service_code_description,naics_description,action_date,federal_action_obligation,total_dollars_obligated,extent_competed,type_of_contract_pricing,award_type
3600_-NONE-_36C25622P1159_P00002_-NONE-_0,36C25622P1159,KARL STORZ ENDOSCOPY-AMERICA INC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-09-04,13500.0,40500.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25623P0004_P00003_-NONE-_0,36C25623P0004,SUN NUCLEAR CORP.,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2023-10-01,42684.0,74088.0,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25623P1368_P00003_-NONE-_0,36C25623P1368,"STRIPES GLOBAL, INC.",Department of Veterans Affairs,Department of Veterans Affairs,LABORATORY EQUIPMENT AND SUPPLIES,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2024-04-03,-117460.0,0.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25624P0864_P00001_-NONE-_0,36C25624P0864,CALDAIA CONTROLS LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT","PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2024-09-10,192700.0,207700.0,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25719C0108_P00016_-NONE-_0,36C25719C0108,CARL ZEISS MEDITEC INC,Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,2024-04-09,-8615.13,46663.45,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,DEFINITIVE CONTRACT
3600_-NONE-_36C25721P0217_P00009_-NONE-_0,36C25721P0217,ATLANTIC FIRST INDUSTRIES CORPORATION,Department of Veterans Affairs,Department of Veterans Affairs,INSPECTION- FIRE CONTROL EQUIPMENT,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,2024-01-04,7438.5,170868.18,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25722P0270_P00003_-NONE-_0,36C25722P0270,"BINDING SITE, INC., THE",Department of Veterans Affairs,Department of Veterans Affairs,"IN VITRO DIAGNOSTIC SUBSTANCES, REAGENTS, TEST KITS AND SETS",ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,2023-10-10,-9882.51,265508.45,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25724K0655_0_-NONE-_0,36C25724K0655,ABILENE ARTIFICIAL LIMB CO. LLP,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-06-03,17001.16,17001.16,NOT COMPETED,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25724P0181_0_-NONE-_0,36C25724P0181,"SCHAIBLE, MARK",Department of Veterans Affairs,Department of Veterans Affairs,"MAINT/REPAIR/REBUILD OF EQUIPMENT- PLUMBING, HEATING, AND WASTE DISPOSAL EQUIPMENT",ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,2024-02-14,79738.87,79738.87,COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
3600_-NONE-_36C25923P1317_P00001_-NONE-_0,36C25923P1317,AFFIRMATIVE SOLUTIONS LLC,Department of Veterans Affairs,Department of Veterans Affairs,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2024-06-13,6413.07,26312.57,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER
